"playerID","nameFirst","nameLast","yearID","teamID","lgID","Age","AB","H","BA"
"aaronha01","Hank","Aaron",1973,"ATL","NL",39,392,118,0.301020408163265
"aaronha01","Hank","Aaron",1974,"ATL","NL",40,340,91,0.267647058823529
"aaronha01","Hank","Aaron",1975,"ML4","AL",41,465,109,0.234408602150538
"aaronha01","Hank","Aaron",1976,"ML4","AL",42,271,62,0.228782287822878
"abadan01","Andy","Abad",2001,"OAK","AL",29,1,0,0
"abadan01","Andy","Abad",2003,"BOS","AL",31,17,2,0.117647058823529
"abadan01","Andy","Abad",2006,"CIN","NL",34,3,0,0
"abbotje01","Jeff","Abbott",1997,"CHA","AL",25,38,10,0.263157894736842
"abbotje01","Jeff","Abbott",1998,"CHA","AL",26,244,68,0.278688524590164
"abbotje01","Jeff","Abbott",1999,"CHA","AL",27,57,9,0.157894736842105
"abbotje01","Jeff","Abbott",2000,"CHA","AL",28,215,59,0.274418604651163
"abbotje01","Jeff","Abbott",2001,"FLO","NL",29,42,11,0.261904761904762
"abbotku01","Kurt","Abbott",1993,"OAK","AL",24,61,15,0.245901639344262
"abbotku01","Kurt","Abbott",1994,"FLO","NL",25,345,86,0.249275362318841
"abbotku01","Kurt","Abbott",1995,"FLO","NL",26,420,107,0.254761904761905
"abbotku01","Kurt","Abbott",1996,"FLO","NL",27,320,81,0.253125
"abbotku01","Kurt","Abbott",1997,"FLO","NL",28,252,69,0.273809523809524
"abbotku01","Kurt","Abbott",1998,"OAK","AL",29,123,33,0.268292682926829
"abbotku01","Kurt","Abbott",1998,"COL","NL",29,71,18,0.253521126760563
"abbotku01","Kurt","Abbott",1999,"COL","NL",30,286,78,0.272727272727273
"abbotku01","Kurt","Abbott",2000,"NYN","NL",31,157,34,0.21656050955414
"abbotku01","Kurt","Abbott",2001,"ATL","NL",32,9,2,0.222222222222222
"abercre01","Reggie","Abercrombie",2006,"FLO","NL",26,255,54,0.211764705882353
"abercre01","Reggie","Abercrombie",2007,"FLO","NL",27,76,15,0.197368421052632
"abercre01","Reggie","Abercrombie",2008,"HOU","NL",28,55,17,0.309090909090909
"abernbr01","Brent","Abernathy",2001,"TBA","AL",24,304,82,0.269736842105263
"abernbr01","Brent","Abernathy",2002,"TBA","AL",25,463,112,0.241900647948164
"abernbr01","Brent","Abernathy",2003,"KCA","AL",26,27,2,0.0740740740740741
"abernbr01","Brent","Abernathy",2003,"TBA","AL",26,7,0,0
"abernbr01","Brent","Abernathy",2005,"MIN","AL",28,67,16,0.238805970149254
"abnersh01","Shawn","Abner",1987,"SDN","NL",21,47,13,0.276595744680851
"abnersh01","Shawn","Abner",1988,"SDN","NL",22,83,15,0.180722891566265
"abnersh01","Shawn","Abner",1989,"SDN","NL",23,102,18,0.176470588235294
"abnersh01","Shawn","Abner",1990,"SDN","NL",24,184,45,0.244565217391304
"abnersh01","Shawn","Abner",1991,"SDN","NL",25,115,19,0.165217391304348
"abnersh01","Shawn","Abner",1991,"CAL","AL",25,101,23,0.227722772277228
"abnersh01","Shawn","Abner",1992,"CHA","AL",26,208,58,0.278846153846154
"abreubo01","Bobby","Abreu",1996,"HOU","NL",22,22,5,0.227272727272727
"abreubo01","Bobby","Abreu",1997,"HOU","NL",23,188,47,0.25
"abreubo01","Bobby","Abreu",1998,"PHI","NL",24,497,155,0.311871227364185
"abreubo01","Bobby","Abreu",1999,"PHI","NL",25,546,183,0.335164835164835
"abreubo01","Bobby","Abreu",2000,"PHI","NL",26,576,182,0.315972222222222
"abreubo01","Bobby","Abreu",2001,"PHI","NL",27,588,170,0.289115646258503
"abreubo01","Bobby","Abreu",2002,"PHI","NL",28,572,176,0.307692307692308
"abreubo01","Bobby","Abreu",2003,"PHI","NL",29,577,173,0.299826689774697
"abreubo01","Bobby","Abreu",2004,"PHI","NL",30,574,173,0.301393728222997
"abreubo01","Bobby","Abreu",2005,"PHI","NL",31,588,168,0.285714285714286
"abreubo01","Bobby","Abreu",2006,"NYA","AL",32,209,69,0.330143540669856
"abreubo01","Bobby","Abreu",2006,"PHI","NL",32,339,94,0.277286135693215
"abreubo01","Bobby","Abreu",2007,"NYA","AL",33,605,171,0.282644628099174
"abreubo01","Bobby","Abreu",2008,"NYA","AL",34,609,180,0.295566502463054
