"n_obs","missing","mean/unique","median","sd","iqr","skewness","kurtosis","q1","q3","min","max","variable","missing_pct"
59069,0,6.62499788383077,7,3.07484988857859,5,-0.34466110117484,1.86258357236913,4,9,1,11,"AGE3",0
59069,0,1.54211176759383,2,0.498227660228873,1,-0.169047716224797,1.02857713036099,1,2,1,2,"irsex",0
59069,0,8.19252061148826,9,2.65643702654562,4,-0.911245809300113,3.05447298982368,7,11,1,11,"IREDUHIGHST2",0
51263,7806,3.6198232643427,2,3.02973100104985,6,0.705722654878704,1.85135352317487,1,7,1,9,"WRKSTATWK2",13.22
59069,0,2.82371463881224,3,1.15095583695708,2,-0.308708528347209,1.58240169762722,2,4,1,4,"income",0
25501,33568,1.19940394494334,1,0.399560098302357,0,1.50466450637264,3.26401527673719,1,1,1,2,"NOMARR2",56.83
45827,13242,1.64501276540031,2,0.478514675227207,1,-0.606101986458198,1.36735961798743,1,2,1,2,"addprev",22.42
11746,47323,1.47207560020432,1,0.499240870880701,1,0.111872205091307,1.01251539027177,1,2,1,2,"yodprev",80.11
1232,57837,5.71347402597403,6,1.16049806220048,0,-3.8077800680263,15.5152411551869,6,6,1,6,"yorelig",97.91
4514,54555,5.56468763845813,6,1.40506595142229,0,-2.92695118997802,9.5873181387015,6,6,1,6,"adrelig",92.36
59056,13,2.30465998374424,2,0.927355071265436,1,0.185493142645589,2.16356145618957,2,3,1,4,"HEALTH2",0.02
45584,13485,2.54407248157248,3,1.10420037133268,1,-0.136112711914853,1.68750911219351,2,3,1,4,"snrldcsn",22.83
29986,29083,1.13959847929034,1,0.346575748667548,0,2.07981967429675,5.32564987759249,1,1,1,2,"hltinmnt",49.24
45918,13151,2.2515571235681,1,1.732693608722,3,1.04029753294821,2.56349499980487,1,4,1,6,"snrlgsvc",22.26
58873,196,581.377456559034,991,481.18521193326,974,-0.323473996323513,1.10476757577457,17,991,1,991,"cigtry",0.33
59069,0,1.68609592171867,2,0.708704198160817,1,0.533801989680456,2.11177709825808,1,2,1,3,"COUTYP4",0
59069,0,2.70625878210229,1,2.43699053562555,4,0.971640630854542,2.12767806361908,1,5,1,7,"NEWRACE2",0
48955,10114,1.94848330099071,2,0.221051412273435,0,-4.05776988272095,17.4654964210931,2,2,1,2,"service",17.12
57564,1505,1.20523243693975,1,2.7767094905487,0,29.6078635498857,893.312678939888,1,1,1,85,"LVLDIFCARE2",2.55
28437,30632,35.8907761015578,40,13.5340605821861,10,-0.638043916556439,3.10684362363839,30,40,1,61,"WRKDHRSWK2",51.86
59069,0,0.48726066126056,0,0.499841913919716,1,0.0509739028298474,1.00259833877009,0,1,0,1,"illflag",0
