date,type,address,city,zip,price,beds,baths,neighborhood 9,sqft,lotsize,year,hoa,url,mls,latitude,longitude
September-16-2022,condo,150 Cambridge St #209,Cambridge,2141,715000,1,1,Cambridge,732,,1898,505,https://www.redfin.com/MA/Cambridge/150-Cambridge-St-02141/unit-209/home/12428002,73020121,42.3705885,-71.0780026
September-16-2022,condo,26C Bradbury St Unit 26C,Cambridge,2138,1900000,3,2.5,Harvard Square,1890,,1960,1954,https://www.redfin.com/MA/Cambridge/26-Bradbury-St-02138/unit-26C/home/138278735,72963401,42.3754424,-71.1304494
September-14-2022,condo,8 Leland St #2,Somerville,2143,720000,2,2,Somerville,935,,1885,,https://www.redfin.com/MA/Somerville/8-Leland-St-02143/unit-2/home/8753508,73026427,42.3794881,-71.1028902
September-9-2022,condo,10 Rogers St #718,Cambridge,2142,1300000,2,2,Cambridge,1327,,1989,1258,https://www.redfin.com/MA/Cambridge/10-Rogers-St-02142/unit-718/home/11550815,73014913,42.3656338,-71.0773894
September-7-2022,condo,1697-1699 Cambridge St #19,Cambridge,2138,410000,1,1,Cambridge,345,,1940,217,https://www.redfin.com/MA/Cambridge/1697-Cambridge-St-02138/unit-19/home/11572681,73008668,42.3753168,-71.1118542
September-2-2022,condo,31 Concord Ave #2,Cambridge,2138,807000,2,2,Harvard Square,1375,,1920,732,https://www.redfin.com/MA/Cambridge/31-Concord-Ave-02138/unit-2/home/11586215,72998420,42.379888,-71.1259812
September-1-2022,condo,3 Dana St #9,Cambridge,2138,1230000,2,2,Mid Cambridge,1132,,1910,665,https://www.redfin.com/MA/Cambridge/3-Dana-St-02138/unit-9/home/28451987,73020551,42.3697107,-71.1106635
August-31-2022,condo,8 Leland #1,Somerville,2143,640000,2,1.5,Inman Square,853,,1885,200,https://www.redfin.com/MA/Somerville/8-Leland-St-02143/unit-1/home/8753502,73002363,42.3794881,-71.1028902
August-31-2022,condo,55 Magazine St #44,Cambridge,2139,1057500,2,2,Cambridge,1208,,1900,411,https://www.redfin.com/MA/Cambridge/55-Magazine-St-02139/unit-44/home/28439482,73020715,42.3626615,-71.1076822
August-30-2022,condo,19 Chauncy St Unit 3B,Cambridge,2138,960000,2,2,Cambridge,1180,,1972,700,https://www.redfin.com/MA/Cambridge/19-Chauncy-St-02138/unit-3B/home/11585996,72981890,42.3797538,-71.1226232
August-29-2022,condo,80 Newton St #3,Somerville,2143,639900,2,1.5,Somerville,724,2053,1900,200,https://www.redfin.com/MA/Somerville/80-Newton-St-02143/unit-3/home/8733517,72990244,42.3769912,-71.0972009
August-26-2022,condo,375 Broadway Unit 2 (1R),Cambridge,2139,720000,2,1,Mid Cambridge,755,,1870,326,https://www.redfin.com/MA/Cambridge/375-Broadway-02139/unit-2-1R/home/147043772,73001307,42.3710855,-71.1050911
,condo,375 Broadway #2,Cambridge,2139,720000,2,1,,755,,1870,,https://www.redfin.com/MA/Cambridge/375-Broadway-02139/unit-2/home/19003255,,42.3711817,-71.1049894
August-25-2022,condo,419 Norfolk St Unit 1D,Somerville,2143,312000,0,1,Somerville,294,,2002,281,https://www.redfin.com/MA/Somerville/419-Norfolk-St-02143/unit-1D/home/8752311,73008589,42.3748653,-71.0958262
,condo,221 Mt Auburn St #301,Cambridge,2138,1457700,2,2,,1106,,1960,,https://www.redfin.com/MA/Cambridge/221-Mt-Auburn-St-02138/unit-301/home/11587446,,42.3749459,-71.1301481
August-23-2022,condo,179 Chestnut St #3,Cambridge,2139,686500,1,1,Cambridgeport,742,,1873,255,https://www.redfin.com/MA/Cambridge/179-Chestnut-St-02139/unit-3/home/11560858,73015371,42.3582151,-71.1111771
August-22-2022,condo,109 Prospect #301,Somerville,2143,950000,2,2,Somerville,930,,2022,200,https://www.redfin.com/MA/Somerville/109-Prospect-St-02143/unit-301/home/179694915,72990702,42.375064,-71.097433
August-22-2022,condo,369 Franklin St #503,Cambridge,2139,850000,2,1.5,Cambridge,923,,2003,696,https://www.redfin.com/MA/Cambridge/369-Franklin-St-02139/unit-503/home/11599840,72998838,42.3664032,-71.1079781
August-22-2022,condo,109 Prospect #303,Somerville,2143,955000,2,1,Somerville,942,,2022,200,https://www.redfin.com/MA/Somerville/109-Prospect-St-02143/unit-303/home/179317307,72976145,42.375064,-71.097433
