flight_time,year,month,dayofmonth,weekday,carrier,tailnum,flightnum,origin,dest,bos_depart,schedule_depart,depart,wheels_off,distance,weather_delay,nas_delay,security_delay,late_aircraft_delay,carrier_delay
79,2018,11,29,4,YX,N880RW,5971,other,BOS,0,720,718,728,818,0,0,0,0,0
244,2018,12,31,1,B6,N980JB,487,BOS,LAX,1,635,626,638,2611,0,0,0,0,0
149,2018,12,8,6,B6,N571JB,2469,BOS,FLL,1,1169,1169,1181,1237,0,0,0,0,0
85,2018,11,9,5,B6,N355JB,984,RDU,BOS,0,942,946,966,612,0,0,0,0,0
74,2018,6,5,2,B6,N334JB,1089,BOS,DCA,1,949,965,979,399,0,0,0,0,0
136,2018,3,2,5,B6,N523JB,166,other,BOS,0,777,784,805,1249,0,1,0,1,1
90,2018,12,10,1,9E,N918XJ,5236,other,BOS,0,1196,1186,1203,1010,0,0,0,0,0
66,2018,5,7,1,AA,N961UW,2120,DCA,BOS,0,990,981,997,399,0,0,0,0,0
190,2018,4,14,6,B6,N945JB,488,LAX,BOS,0,700,690,716,2611,0,0,0,0,0
91,2018,3,15,4,B6,N592JB,796,ATL,BOS,0,1226,1219,1237,946,0,0,0,0,0
82,2018,6,3,7,DL,N906DL,58,other,BOS,0,899,899,910,752,0,0,0,0,0
218,2018,11,3,6,UA,N518UA,1272,SFO,BOS,0,965,957,972,2704,0,0,0,0,0
112,2018,10,18,4,WN,N7726A,2437,BOS,other,1,355,352,386,942,0,1,0,0,0
188,2018,10,23,2,B6,N989JB,488,LAX,BOS,0,676,802,840,2611,0,1,0,1,0
114,2018,8,28,2,DL,N696DL,1529,MSP,BOS,0,900,1034,1046,1124,0,0,0,1,1
108,2018,2,20,2,DL,N336NW,1082,DTW,BOS,0,1050,1044,1057,632,0,0,0,0,0
238,2018,2,15,4,UA,N590UA,1413,SFO,BOS,0,1235,1224,1243,2704,0,0,0,0,0
100,2018,1,30,2,WN,N934WN,449,BOS,other,1,390,385,422,640,0,0,0,0,0
159,2018,11,29,4,WN,N755SA,1260,BOS,other,1,770,770,792,1609,0,0,0,0,0
63,2018,6,15,5,WN,N779SW,2153,BWI,BOS,0,685,682,697,369,0,0,0,0,0
54,2018,6,15,5,AA,N959UW,2131,BOS,LGA,1,900,929,948,184,0,0,0,0,0
131,2018,6,27,3,WN,N791SW,2501,other,BOS,0,375,407,417,1609,0,0,0,0,1
123,2018,5,12,6,B6,N948JB,1152,MCO,BOS,0,1127,1119,1129,1121,0,0,0,0,0
116,2018,11,9,5,DL,N341NW,1137,other,BOS,0,414,410,424,1185,0,0,0,0,0
61,2018,9,29,6,B6,N318JB,156,other,BOS,0,885,878,889,413,0,0,0,0,0
124,2018,4,15,7,DL,N376NW,2364,BOS,other,1,920,914,944,1185,0,1,0,0,0
154,2018,12,3,1,B6,N565JB,269,BOS,FLL,1,582,576,586,1237,0,0,0,0,0
173,2018,1,12,5,B6,N594JB,69,BOS,FLL,1,860,895,911,1237,0,1,0,0,1
198,2018,6,13,3,AS,N287AK,24,other,BOS,0,1300,1305,1333,2496,0,0,0,0,0
192,2018,1,29,1,AA,N133AN,1379,LAX,BOS,0,1365,1358,1382,2611,0,0,0,0,0
42,2018,9,12,3,UA,N420UA,1083,EWR,BOS,0,575,567,631,200,0,1,0,0,0
89,2018,7,25,3,B6,N184JB,1245,BOS,CLT,1,491,492,508,728,0,0,0,0,0
75,2018,9,17,1,B6,N306JB,157,BOS,other,1,754,742,752,413,0,0,0,0,0
50,2018,6,28,4,AA,N949UW,2172,LGA,BOS,0,900,1162,1175,184,1,0,0,1,0
67,2018,5,29,2,UA,N448UA,655,other,BOS,0,750,747,761,413,0,0,0,0,0
103,2018,11,9,5,B6,N570JB,49,BOS,other,1,384,380,396,901,0,0,0,0,0
102,2018,6,10,7,UA,N488UA,449,BOS,ORD,1,430,478,515,867,0,1,0,0,0
44,2018,6,18,1,B6,N267JB,832,LGA,BOS,0,835,826,843,184,0,0,0,0,0
123,2018,7,1,7,NK,N634NK,615,BOS,FLL,1,1107,1116,1135,1237,0,0,0,0,0
143,2018,7,19,4,AA,N880NN,1418,BOS,other,1,359,360,373,1258,0,0,0,0,0
71,2018,10,1,1,YX,N209JQ,5898,BOS,other,1,570,560,580,640,0,0,0,0,0
207,2018,4,26,4,B6,N942JB,178,other,BOS,0,611,604,627,2381,0,0,0,0,0
47,2018,7,12,4,B6,N307JB,631,BOS,LGA,1,404,396,416,184,0,0,0,0,0
132,2018,5,21,1,AA,N972NN,1516,other,BOS,0,930,961,973,1258,0,0,0,1,1
58,2018,11,18,7,AA,N951UW,2164,BOS,LGA,1,1020,1027,1038,184,0,0,0,0,0
66,2018,2,25,7,YX,N214JQ,6048,LGA,BOS,0,1080,1100,1117,184,0,0,0,1,0
58,2018,11,19,1,B6,N294JB,626,BWI,BOS,0,623,646,657,369,0,0,0,0,0
43,2018,6,21,4,UA,N492UA,2062,EWR,BOS,0,1319,1427,4,200,0,0,0,1,1
219,2018,7,10,2,UA,N28457,1820,BOS,LAX,1,385,384,399,2611,0,0,0,0,0
69,2018,8,11,6,AA,N721UW,544,BOS,PHL,1,325,318,337,280,0,0,0,0,0
102,2018,11,14,3,B6,N337JB,112,ORD,BOS,0,1152,1162,1183,867,0,0,0,0,0
76,2018,8,27,1,AA,N811NN,2312,ORD,BOS,0,718,713,722,867,0,0,0,0,0
251,2018,9,24,1,UA,N587UA,2400,BOS,SFO,1,1105,1096,1109,2704,0,0,0,0,0
54,2018,11,28,3,UA,N78438,700,BOS,EWR,1,540,535,553,200,0,0,0,0,0
141,2018,9,16,7,WN,N7863A,4998,other,BOS,0,670,668,676,1698,0,0,0,0,0
